trip_id,driver_id,rider_id,vendor_id,city,pickup_loc,drop_loc,distance_km,pickup_time,num_passengers,rate_code,payment_type,drop_time,fare_amount,driver_tip,toll_amt,mta_tax,total_amount,rating,stored_flag
TRP00000064,DRV000941,RDR002978,2,Kolkata,43,48,4.53,2024-05-24 16:18:00,1,1,Free Ride,2024-05-24 16:38:00,114.68,9.98,0.0,5.73,130.39,3.5,Y
TRP00000065,DRV001099,RDR003212,2,Pune,65,4,3.64,2024-12-03 22:15:00,2,1,Free Ride,2024-12-03 22:34:00,85.13,11.08,0.0,4.26,100.47,,Y
TRP00000066,DRV000256,RDR001503,1,Chennai,24,57,7.26,2024-06-11 03:38:00,1,1,Wallet,2024-06-11 04:13:00,149.4,5.35,0.0,7.47,162.22,4.5,Y
TRP00000067,DRV001993,RDR002707,1,Mumbai,37,4,2.22,2024-09-08 16:49:00,1,4,Cash,2024-09-08 17:06:00,47.73,1.5,0.0,2.39,51.62,4.1,Y
TRP00000068,DRV001889,RDR002661,1,Delhi,58,80,13.96,2024-10-14 03:26:00,3,1,UPI,2024-10-14 04:19:00,196.26,0.33,0.0,9.81,206.4,4.8,Y
TRP00000069,DRV000776,RDR003714,2,Hyderabad,61,48,1.62,2024-05-10 18:22:00,1,5,Wallet,2024-05-10 18:33:00,54.47,2.68,0.0,2.72,59.87,3.1,Y
TRP00000070,DRV000162,RDR003994,1,Bangalore,25,83,35.67,2024-08-31 03:51:00,3,1,Free Ride,2024-08-31 05:49:00,481.7,53.24,0.0,24.08,559.02,,Y
TRP00000071,DRV001131,RDR000248,1,Chennai,28,93,12.84,2024-01-18 09:09:00,1,1,Cash,2024-01-18 10:01:00,217.96,23.66,22.53,10.9,275.05,3.7,Y
TRP00000072,DRV000601,RDR000536,1,Kolkata,91,3,2.77,2024-12-08 10:39:00,1,1,Wallet,2024-12-08 10:58:00,81.05,4.5,43.02,4.05,132.62,4.0,Y
TRP00000073,DRV001699,RDR003894,1,Delhi,73,82,1.04,2024-10-29 00:00:00,1,1,UPI,2024-10-29 00:09:00,50.47,0.52,0.0,2.52,53.51,4.8,Y
TRP00000074,DRV001288,RDR000925,1,Hyderabad,9,52,14.52,2024-12-26 20:11:00,3,1,Wallet,2024-12-26 21:08:00,196.62,21.66,0.0,9.83,228.11,4.2,Y
TRP00000075,DRV001267,RDR002880,2,Kolkata,17,17,10.82,2024-09-18 09:10:00,1,2,Free Ride,2024-09-18 09:57:00,149.89,2.13,20.25,7.49,179.76,,N
TRP00000076,DRV001814,RDR003922,1,Mumbai,78,50,11.45,2024-03-09 08:48:00,5,1,Wallet,2024-03-09 09:28:00,182.49,10.31,0.0,9.12,201.92,3.2,Y
TRP00000077,DRV001765,RDR003779,1,Mumbai,78,86,12.8,2024-02-19 15:02:00,3,1,Cash,2024-02-19 15:47:00,178.16,0.0,0.0,8.91,187.07,3.1,Y
TRP00000078,DRV000741,RDR001400,1,Delhi,6,28,1.62,2024-12-27 03:34:00,5,1,Free Ride,2024-12-27 03:46:00,57.42,0.0,0.0,2.87,60.29,3.4,Y
TRP00000079,DRV001183,RDR002313,2,Delhi,29,24,4.55,2024-11-30 07:54:00,3,4,Free Ride,2024-11-30 08:20:00,101.11,8.9,0.0,5.06,115.07,3.1,Y
TRP00000080,DRV000394,RDR002856,2,Kolkata,58,57,1.99,2024-11-16 03:15:00,1,1,UPI,2024-11-16 03:25:00,65.02,0.63,0.0,3.25,68.9,4.2,Y
TRP00000081,DRV001443,RDR004952,1,Chennai,15,52,16.91,2024-09-10 15:43:00,3,6,Credit Card,2024-09-10 16:43:00,256.44,24.21,0.0,12.82,293.47,4.3,Y
TRP00000082,DRV000143,RDR004708,2,Pune,89,23,8.81,2024-05-21 06:16:00,1,1,UPI,2024-05-21 06:47:00,130.82,5.62,0.0,6.54,142.98,4.5,Y
TRP00000083,DRV000094,RDR001044,2,Delhi,77,33,4.21,2024-01-18 07:56:00,1,2,UPI,2024-01-18 08:21:00,109.99,0.0,26.57,5.5,142.06,,Y
TRP00000084,DRV001355,RDR004162,1,Ahmedabad,15,92,1.53,2024-01-31 10:47:00,3,1,Cash,2024-01-31 11:06:00,84.23,9.36,0.0,4.21,97.8,3.1,Y
TRP00000085,DRV000467,RDR000844,2,Kolkata,19,85,3.98,2024-12-07 15:36:00,2,1,Wallet,2024-12-07 15:55:00,113.86,9.59,0.0,5.69,129.14,3.7,Y
TRP00000086,DRV001584,RDR003324,1,Mumbai,57,98,4.15,2024-03-28 10:45:00,1,1,Cash,2024-03-28 11:05:00,78.19,8.02,0.0,3.91,90.12,3.2,Y
TRP00000087,DRV000593,RDR000877,2,Mumbai,45,26,11.46,2024-11-23 02:31:00,1,2,Free Ride,2024-11-23 03:15:00,201.92,1.22,24.99,10.1,238.23,3.8,Y
TRP00000088,DRV000164,RDR002670,2,Hyderabad,77,17,9.12,2024-04-24 07:15:00,1,2,UPI,2024-04-24 07:47:00,163.4,8.69,30.03,8.17,210.29,,Y
TRP00000089,DRV001752,RDR004556,1,Mumbai,32,55,18.46,2024-06-26 16:07:00,1,5,Free Ride,2024-06-26 17:11:00,277.56,14.69,30.69,13.88,336.82,3.6,Y
TRP00000090,DRV000477,RDR000582,1,Chennai,73,43,6.11,2024-04-29 13:32:00,1,1,Cash,2024-04-29 13:57:00,111.05,0.0,25.53,5.55,142.13,4.7,Y
TRP00000091,DRV001775,RDR002475,2,Chennai,90,58,2.02,2024-03-24 05:03:00,2,1,Free Ride,2024-03-24 05:19:00,67.9,0.0,0.0,3.4,71.3,5.0,Y
TRP00000092,DRV000207,RDR004365,2,Delhi,47,20,10.99,2024-02-11 20:56:00,2,3,Cash,2024-02-11 21:41:00,183.25,20.82,0.0,9.16,213.23,,Y
TRP00000093,DRV000779,RDR003777,2,Mumbai,41,1,12.44,2024-06-20 04:39:00,4,1,Credit Card,2024-06-20 05:31:00,179.13,24.72,0.0,8.96,212.81,4.8,Y
TRP00000094,DRV000570,RDR003284,1,Chennai,60,99,7.59,2024-12-18 15:39:00,3,1,Cash,2024-12-18 16:11:00,150.51,4.49,35.17,7.53,197.7,5.0,Y
TRP00000095,DRV000929,RDR004838,1,Mumbai,86,64,12.79,2024-08-02 17:23:00,1,1,UPI,2024-08-02 18:09:00,203.53,16.76,0.0,10.18,230.47,4.3,Y
TRP00000096,DRV001302,RDR003387,2,Chennai,12,78,6.45,2024-05-27 12:11:00,1,1,Credit Card,2024-05-27 12:45:00,99.57,12.39,0.0,4.98,116.94,3.5,Y
TRP00000097,DRV001709,RDR001955,2,Hyderabad,37,68,6.92,2024-02-11 02:24:00,3,4,Cash,2024-02-11 02:59:00,134.63,0.0,42.19,6.73,183.55,4.6,Y
TRP00000098,DRV000748,RDR001997,1,Delhi,24,7,5.46,2024-08-19 00:40:00,1,2,Wallet,2024-08-19 01:09:00,88.22,4.99,0.0,4.41,97.62,,Y
TRP00000099,DRV000334,RDR004489,1,Kolkata,11,33,1.21,2024-01-28 13:10:00,1,1,Credit Card,2024-01-28 13:24:00,57.17,7.3,0.0,2.86,67.33,3.2,Y
TRP00000100,DRV000759,RDR001303,2,Pune,95,95,1.91,2024-01-23 16:08:00,4,1,Wallet,2024-01-23 16:26:00,56.95,2.62,0.0,2.85,62.42,3.0,Y
TRP00000101,DRV000728,RDR003952,2,Pune,12,63,1.26,2024-02-24 04:17:00,2,1,Cash,2024-02-24 04:28:00,51.6,0.0,0.0,2.58,54.18,3.3,Y
TRP00000102,DRV000430,RDR003145,1,Kolkata,54,6,9.09,2024-01-06 14:53:00,1,4,Wallet,2024-01-06 15:30:00,160.81,14.65,0.0,8.04,183.5,4.8,Y
TRP00000103,DRV001373,RDR000542,2,Delhi,87,62,4.02,2024-12-02 12:27:00,1,3,Wallet,2024-12-02 12:45:00,115.1,0.0,0.0,5.76,120.86,4.7,Y
TRP00000104,DRV000547,RDR002792,1,Hyderabad,24,66,6.68,2024-05-25 23:40:00,2,2,Credit Card,2024-05-26 00:06:00,138.68,0.0,0.0,6.93,145.61,3.4,Y
TRP00000105,DRV001438,RDR001706,2,Kolkata,23,80,20.05,2024-11-21 10:42:00,1,1,UPI,2024-11-21 11:56:00,269.48,22.34,36.02,13.47,341.31,3.3,Y
TRP00000106,DRV001919,RDR004842,1,Hyderabad,5,96,3.29,2024-04-19 12:09:00,3,4,Credit Card,2024-04-19 12:23:00,70.19,0.0,0.0,3.51,73.7,3.2,Y
TRP00000107,DRV001400,RDR003532,1,Delhi,91,83,5.23,2024-10-21 04:07:00,2,1,Wallet,2024-10-21 04:30:00,84.83,5.67,0.0,4.24,94.74,5.0,Y
TRP00000108,DRV001328,RDR003567,1,Chennai,51,31,12.27,2024-12-22 07:56:00,1,1,Credit Card,2024-12-22 08:47:00,213.15,0.0,0.0,10.66,223.81,3.3,Y
TRP00000109,DRV000147,RDR004647,1,Hyderabad,84,57,3.08,2024-06-19 01:40:00,1,1,Cash,2024-06-19 01:59:00,86.6,7.24,28.94,4.33,127.11,3.2,Y
TRP00000110,DRV001248,RDR002804,2,Ahmedabad,93,78,1.64,2024-02-21 03:15:00,1,3,Free Ride,2024-02-21 03:33:00,69.69,3.29,0.0,3.48,76.46,3.2,Y
TRP00000111,DRV001301,RDR004461,2,Chennai,87,67,3.74,2024-05-18 08:59:00,1,3,Credit Card,2024-05-18 09:18:00,67.89,1.26,0.0,3.39,72.54,4.5,Y
TRP00000112,DRV000351,RDR001935,2,Ahmedabad,42,64,2.41,2024-11-06 12:34:00,1,1,Wallet,2024-11-06 12:53:00,91.82,12.2,0.0,4.59,108.61,4.0,Y
TRP00000113,DRV001094,RDR001418,2,Kolkata,77,64,22.24,2024-12-18 18:20:00,3,4,UPI,2024-12-18 19:36:00,286.98,1.99,0.0,14.35,303.32,3.7,Y
TRP00000114,DRV001494,RDR000639,2,Kolkata,12,85,14.21,2024-01-14 18:08:00,1,1,Free Ride,2024-01-14 19:01:00,230.38,30.41,47.03,11.52,319.34,3.5,Y
TRP00000115,DRV000502,RDR004704,2,Mumbai,6,43,9.03,2024-10-15 02:53:00,3,3,Credit Card,2024-10-15 03:28:00,152.73,18.75,0.0,7.64,179.12,3.1,Y
TRP00000116,DRV000335,RDR003987,2,Hyderabad,1,21,17.41,2024-09-26 09:32:00,1,1,Credit Card,2024-09-26 10:37:00,269.1,15.17,0.0,13.46,297.73,3.2,Y
TRP00000117,DRV000947,RDR000937,2,Mumbai,92,90,14.02,2024-10-26 18:16:00,1,4,Cash,2024-10-26 19:11:00,230.99,22.62,46.44,11.55,311.6,4.2,Y
TRP00000118,DRV000778,RDR004852,2,Mumbai,36,84,2.65,2024-07-01 08:42:00,3,1,Free Ride,2024-07-01 08:59:00,52.38,0.32,0.0,2.62,55.32,4.5,Y
TRP00000119,DRV000553,RDR004884,2,Delhi,33,25,18.85,2024-10-25 08:47:00,1,1,Free Ride,2024-10-25 09:54:00,287.49,25.47,0.0,14.37,327.33,,Y
TRP00000120,DRV001896,RDR003793,2,Pune,25,80,7.2,2024-10-31 14:09:00,2,2,Credit Card,2024-10-31 14:43:00,124.12,7.49,29.52,6.21,167.34,4.3,Y
TRP00000121,DRV001311,RDR002666,2,Kolkata,51,76,14.18,2024-06-29 09:29:00,3,3,Wallet,2024-06-29 10:21:00,206.72,0.36,0.0,10.34,217.42,3.4,Y
TRP00000122,DRV001410,RDR004548,1,Pune,33,80,19.11,2024-03-16 21:57:00,1,1,Cash,2024-03-16 23:02:00,280.03,6.76,17.51,14.0,318.3,3.4,Y
TRP00000123,DRV001141,RDR000800,2,Chennai,28,56,4.06,2024-01-29 09:31:00,1,1,Cash,2024-01-29 09:58:00,97.75,3.3,16.55,4.89,122.49,3.0,Y
TRP00000124,DRV000450,RDR003648,2,Ahmedabad,51,25,1.93,2024-05-08 09:08:00,2,2,Free Ride,2024-05-08 09:19:00,81.5,0.0,41.33,4.08,126.91,4.7,Y
TRP00000125,DRV001403,RDR001444,1,Delhi,35,50,3.07,2024-12-13 03:28:00,2,4,Cash,2024-12-13 03:51:00,73.16,3.47,0.0,3.66,80.29,3.3,Y
TRP00000126,DRV000665,RDR002524,2,Ahmedabad,38,73,5.46,2024-07-03 13:14:00,1,2,Credit Card,2024-07-03 13:38:00,109.15,16.21,0.0,5.46,130.82,4.4,N
TRP00000127,DRV001727,RDR003325,2,Ahmedabad,33,14,14.63,2024-10-18 08:37:00,2,4,UPI,2024-10-18 09:30:00,231.3,13.31,0.0,11.57,256.18,3.6,Y
TRP00000128,DRV001574,RDR000571,1,Chennai,27,67,16.77,2024-01-01 08:52:00,2,5,Credit Card,2024-01-01 09:52:00,231.97,24.63,0.0,11.6,268.2,3.0,Y
TRP00000129,DRV001590,RDR004901,2,Mumbai,21,39,1.06,2024-07-15 10:06:00,2,1,UPI,2024-07-15 10:24:00,40.72,5.02,0.0,2.04,47.78,3.3,N
TRP00000130,DRV000115,RDR000891,2,Delhi,96,47,6.72,2024-05-25 09:16:00,3,1,Wallet,2024-05-25 09:47:00,133.07,11.98,19.99,6.65,171.69,4.5,Y
TRP00000131,DRV000470,RDR004886,2,Mumbai,100,36,5.32,2024-06-05 13:44:00,2,1,Free Ride,2024-06-05 14:14:00,132.94,1.82,0.0,6.65,141.41,4.5,Y
TRP00000132,DRV001684,RDR003105,2,Bangalore,73,35,3.01,2024-07-04 15:19:00,6,2,UPI,2024-07-04 15:37:00,69.76,0.25,41.18,3.49,114.68,4.9,Y
TRP00000133,DRV000066,RDR002683,1,Ahmedabad,54,14,2.02,2024-09-21 02:51:00,2,3,Credit Card,2024-09-21 03:04:00,70.2,0.0,0.0,3.51,73.71,4.2,Y
TRP00000134,DRV001649,RDR004050,2,Delhi,76,87,4.3,2024-05-29 23:20:00,1,1,Wallet,2024-05-29 23:46:00,78.57,0.0,0.0,3.93,82.5,4.9,Y
TRP00000135,DRV000647,RDR000504,2,Pune,12,76,23.9,2024-03-22 10:08:00,2,2,Credit Card,2024-03-22 11:26:00,337.3,19.12,0.0,16.87,373.29,3.1,Y
TRP00000136,DRV000822,RDR000742,1,Hyderabad,33,70,4.12,2024-12-26 16:48:00,1,4,Cash,2024-12-26 17:12:00,102.41,0.08,0.0,5.12,107.61,3.5,Y
TRP00000137,DRV000549,RDR001783,1,Ahmedabad,19,87,6.85,2024-09-18 17:42:00,1,4,Cash,2024-09-18 18:17:00,149.05,0.0,0.0,7.45,156.5,4.3,Y
TRP00000138,DRV000136,RDR001139,2,Delhi,21,29,10.71,2024-07-20 09:24:00,3,4,Wallet,2024-07-20 10:08:00,196.92,9.86,0.0,9.85,216.63,4.5,Y
TRP00000139,DRV000433,RDR004758,2,Pune,89,65,4.62,2024-06-11 00:56:00,1,1,UPI,2024-06-11 01:22:00,76.11,4.01,25.3,3.81,109.23,,Y
TRP00000140,DRV001871,RDR000002,1,Delhi,98,47,29.54,2024-10-13 19:14:00,3,1,Cash,2024-10-13 20:49:00,412.4,0.0,37.56,20.62,470.58,3.8,Y
TRP00000141,DRV001932,RDR001202,2,Delhi,91,58,27.26,2024-01-13 08:15:00,1,3,Free Ride,2024-01-13 09:44:00,361.2,36.97,38.11,18.06,454.34,4.6,Y
TRP00000142,DRV001162,RDR001223,2,Kolkata,1,92,3.32,2024-02-12 15:59:00,3,1,Free Ride,2024-02-12 16:19:00,65.67,3.06,0.0,3.28,72.01,4.5,Y
TRP00000143,DRV001795,RDR003711,2,Pune,81,73,6.5,2024-10-12 09:09:00,3,1,Cash,2024-10-12 09:41:00,144.24,12.86,43.6,7.21,207.91,4.7,Y
